# x 	 f(x) 
-6.260 	 1.959 
-6.250 	 1.953 
-6.240 	 1.947 
-6.230 	 1.941 
-6.220 	 1.934 
-6.210 	 1.928 
-6.200 	 1.922 
-6.190 	 1.916 
-6.180 	 1.910 
-6.170 	 1.903 
-6.160 	 1.897 
-6.150 	 1.891 
-6.140 	 1.885 
-6.130 	 1.879 
-6.120 	 1.873 
-6.110 	 1.867 
-6.100 	 1.861 
-6.090 	 1.854 
-6.080 	 1.848 
-6.070 	 1.842 
-6.060 	 1.836 
-6.050 	 1.830 
-6.040 	 1.824 
-6.030 	 1.818 
-6.020 	 1.812 
-6.010 	 1.806 
-6.000 	 1.800 
-5.990 	 1.794 
-5.980 	 1.788 
-5.970 	 1.782 
-5.960 	 1.776 
-5.950 	 1.770 
-5.940 	 1.764 
-5.930 	 1.758 
-5.920 	 1.752 
-5.910 	 1.746 
-5.900 	 1.741 
-5.890 	 1.735 
-5.880 	 1.729 
-5.870 	 1.723 
-5.860 	 1.717 
-5.850 	 1.711 
-5.840 	 1.705 
-5.830 	 1.699 
-5.820 	 1.694 
-5.810 	 1.688 
-5.800 	 1.682 
-5.790 	 1.676 
-5.780 	 1.670 
-5.770 	 1.665 
-5.760 	 1.659 
-5.750 	 1.653 
-5.740 	 1.647 
-5.730 	 1.642 
-5.720 	 1.636 
-5.710 	 1.630 
-5.700 	 1.625 
-5.690 	 1.619 
-5.680 	 1.613 
-5.670 	 1.607 
-5.660 	 1.602 
-5.650 	 1.596 
-5.640 	 1.590 
-5.630 	 1.585 
-5.620 	 1.579 
-5.610 	 1.574 
-5.600 	 1.568 
-5.590 	 1.562 
-5.580 	 1.557 
-5.570 	 1.551 
-5.560 	 1.546 
-5.550 	 1.540 
-5.540 	 1.535 
-5.530 	 1.529 
-5.520 	 1.524 
-5.510 	 1.518 
-5.500 	 1.513 
-5.490 	 1.507 
-5.480 	 1.502 
-5.470 	 1.496 
-5.460 	 1.491 
-5.450 	 1.485 
-5.440 	 1.480 
-5.430 	 1.474 
-5.420 	 1.469 
-5.410 	 1.463 
-5.400 	 1.458 
-5.390 	 1.453 
-5.380 	 1.447 
-5.370 	 1.442 
-5.360 	 1.436 
-5.350 	 1.431 
-5.340 	 1.426 
-5.330 	 1.420 
-5.320 	 1.415 
-5.310 	 1.410 
-5.300 	 1.405 
-5.290 	 1.399 
-5.280 	 1.394 
-5.270 	 1.389 
-5.260 	 1.383 
-5.250 	 1.378 
-5.240 	 1.373 
-5.230 	 1.368 
-5.220 	 1.362 
-5.210 	 1.357 
-5.200 	 1.352 
-5.190 	 1.347 
-5.180 	 1.342 
-5.170 	 1.336 
-5.160 	 1.331 
-5.150 	 1.326 
-5.140 	 1.321 
-5.130 	 1.316 
-5.120 	 1.311 
-5.110 	 1.306 
-5.100 	 1.301 
-5.090 	 1.295 
-5.080 	 1.290 
-5.070 	 1.285 
-5.060 	 1.280 
-5.050 	 1.275 
-5.040 	 1.270 
-5.030 	 1.265 
-5.020 	 1.260 
-5.010 	 1.255 
-5.000 	 1.250 
-4.990 	 1.245 
-4.980 	 1.240 
-4.970 	 1.235 
-4.960 	 1.230 
-4.950 	 1.225 
-4.940 	 1.220 
-4.930 	 1.215 
-4.920 	 1.210 
-4.910 	 1.205 
-4.900 	 1.201 
-4.890 	 1.196 
-4.880 	 1.191 
-4.870 	 1.186 
-4.860 	 1.181 
-4.850 	 1.176 
-4.840 	 1.171 
-4.830 	 1.166 
-4.820 	 1.162 
-4.810 	 1.157 
-4.800 	 1.152 
-4.790 	 1.147 
-4.780 	 1.142 
-4.770 	 1.138 
-4.760 	 1.133 
-4.750 	 1.128 
-4.740 	 1.123 
-4.730 	 1.119 
-4.720 	 1.114 
-4.710 	 1.109 
-4.700 	 1.105 
-4.690 	 1.100 
-4.680 	 1.095 
-4.670 	 1.090 
-4.660 	 1.086 
-4.650 	 1.081 
-4.640 	 1.076 
-4.630 	 1.072 
-4.620 	 1.067 
-4.610 	 1.063 
-4.600 	 1.058 
-4.590 	 1.053 
-4.580 	 1.049 
-4.570 	 1.044 
-4.560 	 1.040 
-4.550 	 1.035 
-4.540 	 1.031 
-4.530 	 1.026 
-4.520 	 1.022 
-4.510 	 1.017 
-4.500 	 1.013 
-4.490 	 1.008 
-4.480 	 1.004 
-4.470 	 0.999 
-4.460 	 0.995 
-4.450 	 0.990 
-4.440 	 0.986 
-4.430 	 0.981 
-4.420 	 0.977 
-4.410 	 0.972 
-4.400 	 0.968 
-4.390 	 0.964 
-4.380 	 0.959 
-4.370 	 0.955 
-4.360 	 0.950 
-4.350 	 0.946 
-4.340 	 0.942 
-4.330 	 0.937 
-4.320 	 0.933 
-4.310 	 0.929 
-4.300 	 0.925 
-4.290 	 0.920 
-4.280 	 0.916 
-4.270 	 0.912 
-4.260 	 0.907 
-4.250 	 0.903 
-4.240 	 0.899 
-4.230 	 0.895 
-4.220 	 0.890 
-4.210 	 0.886 
-4.200 	 0.882 
-4.190 	 0.878 
-4.180 	 0.874 
-4.170 	 0.869 
-4.160 	 0.865 
-4.150 	 0.861 
-4.140 	 0.857 
-4.130 	 0.853 
-4.120 	 0.849 
-4.110 	 0.845 
-4.100 	 0.841 
-4.090 	 0.836 
-4.080 	 0.832 
-4.070 	 0.828 
-4.060 	 0.824 
-4.050 	 0.820 
-4.040 	 0.816 
-4.030 	 0.812 
-4.020 	 0.808 
-4.010 	 0.804 
-4.000 	 0.800 
-3.990 	 0.796 
-3.980 	 0.792 
-3.970 	 0.788 
-3.960 	 0.784 
-3.950 	 0.780 
-3.940 	 0.776 
-3.930 	 0.772 
-3.920 	 0.768 
-3.910 	 0.764 
-3.900 	 0.761 
-3.890 	 0.757 
-3.880 	 0.753 
-3.870 	 0.749 
-3.860 	 0.745 
-3.850 	 0.741 
-3.840 	 0.737 
-3.830 	 0.733 
-3.820 	 0.730 
-3.810 	 0.726 
-3.800 	 0.722 
-3.790 	 0.718 
-3.780 	 0.714 
-3.770 	 0.711 
-3.760 	 0.707 
-3.750 	 0.703 
-3.740 	 0.699 
-3.730 	 0.696 
-3.720 	 0.692 
-3.710 	 0.688 
-3.700 	 0.685 
-3.690 	 0.681 
-3.680 	 0.677 
-3.670 	 0.673 
-3.660 	 0.670 
-3.650 	 0.666 
-3.640 	 0.662 
-3.630 	 0.659 
-3.620 	 0.655 
-3.610 	 0.652 
-3.600 	 0.648 
-3.590 	 0.644 
-3.580 	 0.641 
-3.570 	 0.637 
-3.560 	 0.634 
-3.550 	 0.630 
-3.540 	 0.627 
-3.530 	 0.623 
-3.520 	 0.620 
-3.510 	 0.616 
-3.500 	 0.613 
-3.490 	 0.609 
-3.480 	 0.606 
-3.470 	 0.602 
-3.460 	 0.599 
-3.450 	 0.595 
-3.440 	 0.592 
-3.430 	 0.588 
-3.420 	 0.585 
-3.410 	 0.581 
-3.400 	 0.578 
-3.390 	 0.575 
-3.380 	 0.571 
-3.370 	 0.568 
-3.360 	 0.564 
-3.350 	 0.561 
-3.340 	 0.558 
-3.330 	 0.554 
-3.320 	 0.551 
-3.310 	 0.548 
-3.300 	 0.545 
-3.290 	 0.541 
-3.280 	 0.538 
-3.270 	 0.535 
-3.260 	 0.531 
-3.250 	 0.528 
-3.240 	 0.525 
-3.230 	 0.522 
-3.220 	 0.518 
-3.210 	 0.515 
-3.200 	 0.512 
-3.190 	 0.509 
-3.180 	 0.506 
-3.170 	 0.502 
-3.160 	 0.499 
-3.150 	 0.496 
-3.140 	 0.493 
-3.130 	 0.490 
-3.120 	 0.487 
-3.110 	 0.484 
-3.100 	 0.481 
-3.090 	 0.477 
-3.080 	 0.474 
-3.070 	 0.471 
-3.060 	 0.468 
-3.050 	 0.465 
-3.040 	 0.462 
-3.030 	 0.459 
-3.020 	 0.456 
-3.010 	 0.453 
-3.000 	 0.450 
-2.990 	 0.447 
-2.980 	 0.444 
-2.970 	 0.441 
-2.960 	 0.438 
-2.950 	 0.435 
-2.940 	 0.432 
-2.930 	 0.429 
-2.920 	 0.426 
-2.910 	 0.423 
-2.900 	 0.421 
-2.890 	 0.418 
-2.880 	 0.415 
-2.870 	 0.412 
-2.860 	 0.409 
-2.850 	 0.406 
-2.840 	 0.403 
-2.830 	 0.400 
-2.820 	 0.398 
-2.810 	 0.395 
-2.800 	 0.392 
-2.790 	 0.389 
-2.780 	 0.386 
-2.770 	 0.384 
-2.760 	 0.381 
-2.750 	 0.378 
-2.740 	 0.375 
-2.730 	 0.373 
-2.720 	 0.370 
-2.710 	 0.367 
-2.700 	 0.365 
-2.690 	 0.362 
-2.680 	 0.359 
-2.670 	 0.356 
-2.660 	 0.354 
-2.650 	 0.351 
-2.640 	 0.348 
-2.630 	 0.346 
-2.620 	 0.343 
-2.610 	 0.341 
-2.600 	 0.338 
-2.590 	 0.335 
-2.580 	 0.333 
-2.570 	 0.330 
-2.560 	 0.328 
-2.550 	 0.325 
-2.540 	 0.323 
-2.530 	 0.320 
-2.520 	 0.318 
-2.510 	 0.315 
-2.500 	 0.313 
-2.490 	 0.310 
-2.480 	 0.308 
-2.470 	 0.305 
-2.460 	 0.303 
-2.450 	 0.300 
-2.440 	 0.298 
-2.430 	 0.295 
-2.420 	 0.293 
-2.410 	 0.290 
-2.400 	 0.288 
-2.390 	 0.286 
-2.380 	 0.283 
-2.370 	 0.281 
-2.360 	 0.278 
-2.350 	 0.276 
-2.340 	 0.274 
-2.330 	 0.271 
-2.320 	 0.269 
-2.310 	 0.267 
-2.300 	 0.265 
-2.290 	 0.262 
-2.280 	 0.260 
-2.270 	 0.258 
-2.260 	 0.255 
-2.250 	 0.253 
-2.240 	 0.251 
-2.230 	 0.249 
-2.220 	 0.246 
-2.210 	 0.244 
-2.200 	 0.242 
-2.190 	 0.240 
-2.180 	 0.238 
-2.170 	 0.235 
-2.160 	 0.233 
-2.150 	 0.231 
-2.140 	 0.229 
-2.130 	 0.227 
-2.120 	 0.225 
-2.110 	 0.223 
-2.100 	 0.221 
-2.090 	 0.218 
-2.080 	 0.216 
-2.070 	 0.214 
-2.060 	 0.212 
-2.050 	 0.210 
-2.040 	 0.208 
-2.030 	 0.206 
-2.020 	 0.204 
-2.010 	 0.202 
-2.000 	 0.200 
-1.990 	 0.198 
-1.980 	 0.196 
-1.970 	 0.194 
-1.960 	 0.192 
-1.950 	 0.190 
-1.940 	 0.188 
-1.930 	 0.186 
-1.920 	 0.184 
-1.910 	 0.182 
-1.900 	 0.181 
-1.890 	 0.179 
-1.880 	 0.177 
-1.870 	 0.175 
-1.860 	 0.173 
-1.850 	 0.171 
-1.840 	 0.169 
-1.830 	 0.167 
-1.820 	 0.166 
-1.810 	 0.164 
-1.800 	 0.162 
-1.790 	 0.160 
-1.780 	 0.158 
-1.770 	 0.157 
-1.760 	 0.155 
-1.750 	 0.153 
-1.740 	 0.151 
-1.730 	 0.150 
-1.720 	 0.148 
-1.710 	 0.146 
-1.700 	 0.145 
-1.690 	 0.143 
-1.680 	 0.141 
-1.670 	 0.139 
-1.660 	 0.138 
-1.650 	 0.136 
-1.640 	 0.134 
-1.630 	 0.133 
-1.620 	 0.131 
-1.610 	 0.130 
-1.600 	 0.128 
-1.590 	 0.126 
-1.580 	 0.125 
-1.570 	 0.123 
-1.560 	 0.122 
-1.550 	 0.120 
-1.540 	 0.119 
-1.530 	 0.117 
-1.520 	 0.116 
-1.510 	 0.114 
-1.500 	 0.113 
-1.490 	 0.111 
-1.480 	 0.110 
-1.470 	 0.108 
-1.460 	 0.107 
-1.450 	 0.105 
-1.440 	 0.104 
-1.430 	 0.102 
-1.420 	 0.101 
-1.410 	 0.099 
-1.400 	 0.098 
-1.390 	 0.097 
-1.380 	 0.095 
-1.370 	 0.094 
-1.360 	 0.092 
-1.350 	 0.091 
-1.340 	 0.090 
-1.330 	 0.088 
-1.320 	 0.087 
-1.310 	 0.086 
-1.300 	 0.085 
-1.290 	 0.083 
-1.280 	 0.082 
-1.270 	 0.081 
-1.260 	 0.079 
-1.250 	 0.078 
-1.240 	 0.077 
-1.230 	 0.076 
-1.220 	 0.074 
-1.210 	 0.073 
-1.200 	 0.072 
-1.190 	 0.071 
-1.180 	 0.070 
-1.170 	 0.068 
-1.160 	 0.067 
-1.150 	 0.066 
-1.140 	 0.065 
-1.130 	 0.064 
-1.120 	 0.063 
-1.110 	 0.062 
-1.100 	 0.061 
-1.090 	 0.059 
-1.080 	 0.058 
-1.070 	 0.057 
-1.060 	 0.056 
-1.050 	 0.055 
-1.040 	 0.054 
-1.030 	 0.053 
-1.020 	 0.052 
-1.010 	 0.051 
-1.000 	 0.050 
-0.990 	 0.049 
-0.980 	 0.048 
-0.970 	 0.047 
-0.960 	 0.046 
-0.950 	 0.045 
-0.940 	 0.044 
-0.930 	 0.043 
-0.920 	 0.042 
-0.910 	 0.041 
-0.900 	 0.041 
-0.890 	 0.040 
-0.880 	 0.039 
-0.870 	 0.038 
-0.860 	 0.037 
-0.850 	 0.036 
-0.840 	 0.035 
-0.830 	 0.034 
-0.820 	 0.034 
-0.810 	 0.033 
-0.800 	 0.032 
-0.790 	 0.031 
-0.780 	 0.030 
-0.770 	 0.030 
-0.760 	 0.029 
-0.750 	 0.028 
-0.740 	 0.027 
-0.730 	 0.027 
-0.720 	 0.026 
-0.710 	 0.025 
-0.700 	 0.025 
-0.690 	 0.024 
-0.680 	 0.023 
-0.670 	 0.022 
-0.660 	 0.022 
-0.650 	 0.021 
-0.640 	 0.020 
-0.630 	 0.020 
-0.620 	 0.019 
-0.610 	 0.019 
-0.600 	 0.018 
-0.590 	 0.017 
-0.580 	 0.017 
-0.570 	 0.016 
-0.560 	 0.016 
-0.550 	 0.015 
-0.540 	 0.015 
-0.530 	 0.014 
-0.520 	 0.014 
-0.510 	 0.013 
-0.500 	 0.013 
-0.490 	 0.012 
-0.480 	 0.012 
-0.470 	 0.011 
-0.460 	 0.011 
-0.450 	 0.010 
-0.440 	 0.010 
-0.430 	 0.009 
-0.420 	 0.009 
-0.410 	 0.008 
-0.400 	 0.008 
-0.390 	 0.008 
-0.380 	 0.007 
-0.370 	 0.007 
-0.360 	 0.006 
-0.350 	 0.006 
-0.340 	 0.006 
-0.330 	 0.005 
-0.320 	 0.005 
-0.310 	 0.005 
-0.300 	 0.005 
